	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
GABA_2	10342039	0.003391593306818889	6	1	6	8	6	2	0.03280581587905535	0.18994111622607973	2.0572334561979613	0.03280581587905535	1.0	0.003996481865355769	0.6187864106605571	0.03280581587905535	1.0	0.2498317944853312	2.463756136020895	0.828801767887579
Gastric_Neuroendocrine	6048322	0.001983501359130964	7	0	3	7	4	1	0.0008464460737567926	0.21507797681340388	4.603509179658639	0.1299770846682759	3.467199599739721	0.0008464460737567926	1.0	0.04979158599788943	2.358226012264841	0.33085041576962126	6.395927057579761	2.0373697090836114
Glomerulosa	10796629	0.0035406726519409486	9	3	4	9	6	1	0.001520476465618917	0.2218081448677431	4.308751231865328	0.15191409685466792	3.443320714596796	0.001520476465618917	1.0	0.03785700791499698	1.9819340552452653	0.17663613207448267	3.7427862173420796	1.6494133258176928
Glutamatergic_1	23667640	0.0077616231588566835	11	13	9	12	12	6	0.022464417485955148	0.005122985636933977	0.7197212361971969	0.06909712654403892	1.4204635948342115	0.011173133461097856	0.8445966348894721	0.011173133461097856	0.8445966348894721	0.16124845848165864	2.080120664516142	0.684687846363821
Glutamatergic_2	21051824	0.006903786127158218	12	7	8	8	7	4	0.005293896015183783	0.118276470245516	2.45520499992543	0.07883148994206161	2.063105272110232	0.07883148994206161	2.063105272110232	0.118276470245516	2.45520499992543	0.162574099411699	2.8851365845030306	1.3733634086795214
Hepatocyte	29244968	0.00959066560539296	24	10	9	14	12	8	6.397860025155973e-07	0.08379733565137742	5.752357955797943	0.11311879006870354	6.544313458694379	0.010367606658558863	3.1214524980338503	0.034701018654257315	4.243436623747304	0.13725066804929317	7.181529462005414	3.015392009078856
Keratinocyte_1	28539726	0.009359386836584644	17	6	7	13	13	5	0.0007950323035174686	0.14379637849880145	3.680151588086797	0.14905357518812326	3.7495756590098996	0.017129262610931773	1.7549018189293273	0.017129262610931773	1.7549018189293273	0.1187521797851634	3.34963749389914	1.621248073227738
Keratinocyte_2	2007642	0.0006583909778031671	1	0	1	3	2	0	0.3062836709381788	0.6006382454407002	2.3211666234305453	0.3062836709381788	1.0	0.01322236643975063	0.27352886025762013	0.07799077618552387	0.4638052459215202	0.6006382454407002	2.3211666234305453	0.8197558235604872
Luteal	21117388	0.006925287344042846	14	10	6	11	7	3	0.0008375216293179235	0.025168673560530604	1.9241621117466374	0.15538910933116457	3.805444316590427	0.012190369677113858	1.6076442522687209	0.11888844095412995	3.326992997713059	0.12043778416915996	3.347344758676819	1.6020549045696924
Lymphatic	20115325	0.006596668377917224	24	8	10	10	10	4	7.737878818033813e-10	0.06941629045363652	7.864544253296671	0.019929994411774024	5.3580808765373344	0.019929994411774024	5.3580808765373344	0.019929994411774024	5.3580808765373344	0.1719494830582885	11.91654263300097	4.009674331355917
Macrophage_Gen_or_Alv	56416617	0.01850140195860456	75	13	18	17	19	11	1.0534731340857822e-30	0.10400591945795973	30.497606466515673	0.060642519880692844	24.627683199892846	0.07649603231031626	26.85276009549576	0.04548418202321718	22.335512853317272	0.07853680628770136	27.130645694676986	14.633929761155608
